ZipCode,City,County,State,CountyFIPS,StateFIPS,TimeZone,DayLightSavings,ZipLatitude,ZipLongitude
10122,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.749000,-73.988500
10123,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.751600,-73.989900
10124,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10125,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10126,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10128,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.781540,-73.948758
10129,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10130,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10131,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10132,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10133,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10138,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10150,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10151,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.764400,-73.975400
10152,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.758613,-73.972242
10153,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.763737,-73.972680
10154,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.757989,-73.972668
10155,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.762900,-73.969500
10156,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10157,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10158,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.719300,-73.975900
10159,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10160,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10162,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.769414,-73.950358
10163,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10164,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10165,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.752351,-73.978925
10166,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.754500,-73.975700
10167,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.755149,-73.974970
10168,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.752400,-73.983000
10169,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.754608,-73.976204
10170,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.752862,-73.976096
10171,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.756091,-73.974032
10172,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.755500,-73.974468
10173,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.754305,-73.979564
